"Year","Month","TC_Aggregate_WPU30","Airfreight_NonScheduled","Airfreight_Scheduled","Trucking_LD_LTL","Trucking_LD_Truckload","Trucking_Local","Rail_Transportation","Inland_Water_Freight","Deep_Sea_Freight","Warehouse_Construction","Warehousing_Storage","Total_Inventories","PPI_All_Commodities","Total_Inventories_SA_original","Date"
2003,"12",NA,NA,100,100,100,100,109.6,126.9,223.8,NA,NA,1178306,139.5,1190686,2003-12-01
2004,"01",NA,NA,101.5,101.1,100.3,100.5,110.5,125.6,220.5,NA,NA,1188955,141.4,1193816,2004-01-01
2004,"02",NA,NA,100.5,101.5,101.1,101.8,110.7,125.7,220.6,NA,NA,1199267,142.1,1195139,2004-02-01
2004,"03",NA,NA,97.6,101.9,101.2,101.9,111.5,124.5,222.1,NA,NA,1212408,143.1,1205244,2004-03-01
2004,"04",NA,NA,97.5,101.4,101.5,103.5,111.8,125.6,223.9,NA,NA,1223051,144.8,1212406,2004-04-01
2004,"05",NA,NA,97.5,102.2,101.9,104.5,112.3,125.9,224.3,NA,NA,1221827,146.8,1219933,2004-05-01
2004,"06",NA,NA,98.4,103.4,102.5,105.2,112.6,127,224,NA,NA,1225919,147.2,1234141,2004-06-01
2004,"07",NA,NA,101.8,104.8,102.6,106.5,113.3,128.5,226.8,NA,NA,1233374,147.4,1246820,2004-07-01
2004,"08",NA,NA,101.8,105.1,103,106.6,113.5,132.5,227.7,NA,NA,1239883,148,1256439,2004-08-01
2004,"09",NA,NA,101.8,106.3,104,107.1,114.7,136.7,229.8,NA,NA,1251499,147.7,1258330,2004-09-01
2004,"10",NA,NA,100.8,107.1,104.7,107.8,115.6,144.2,229.9,NA,NA,1286871,150,1260080,2004-10-01
2004,"11",NA,NA,100.8,108.1,105.4,108,116.4,138.7,230.7,NA,NA,1308655,151.4,1274898,2004-11-01
2004,"12",NA,NA,102.3,108,104.8,108.6,117.6,136.6,230.7,100,NA,1264230,150.2,1278198,2004-12-01
2005,"01",NA,NA,101.7,108.1,105.5,109.4,118.3,139.8,230.9,101.3,NA,1283152,150.9,1290576,2005-01-01
2005,"02",NA,NA,101.7,107.5,106.2,109.1,118.4,140.8,230.6,101.4,NA,1289906,151.6,1288309,2005-02-01
2005,"03",NA,NA,102.2,108.6,106.9,111,119.9,144.3,232,101.4,NA,1299690,153.7,1294689,2005-03-01
2005,"04",NA,NA,103,109.3,107.5,111.7,121.1,145.9,233.3,102.9,NA,1307919,155,1299511,2005-04-01
2005,"05",NA,NA,103.6,110.5,108.3,110.4,124.3,143.9,229.6,103,NA,1298629,154.3,1299637,2005-05-01
2005,"06",NA,NA,104.2,111.8,108.4,111.2,124.8,143.1,231.4,103,NA,1290198,154.3,1300043,2005-06-01
2005,"07",NA,NA,105.3,113.3,108.3,112,124.9,144.6,232.2,106,NA,1257440,156.3,1270609,2005-07-01
2005,"08",NA,NA,105.8,113.2,108.6,112,126.2,153.5,232.6,106.1,NA,1260548,157.6,1276885,2005-08-01
2005,"09",NA,NA,106.9,114.6,110,113.6,127.8,164.3,232.9,106.2,NA,1274742,162.2,1282107,2005-09-01
2005,"10",NA,NA,108.4,116.1,111.3,113.7,130.6,173.5,233,107.5,NA,1309805,166.2,1286049,2005-10-01
2005,"11",NA,NA,108.5,115.3,111.9,111.7,133,159.6,233.1,107.5,NA,1325696,163.7,1293509,2005-11-01
2005,"12",NA,NA,107.9,113.7,111,112.1,133.1,163.9,231.3,107.5,NA,1287964,163,1303747,2005-12-01
2006,"01",NA,NA,107.8,114.7,110.3,112.3,131.9,175.3,231.3,109.1,NA,1303732,164.3,1310115,2006-01-01
2006,"02",NA,NA,108.6,114.3,110.4,112,131.2,176.9,231.4,109.1,NA,1316172,161.8,1313564,2006-02-01
2006,"03",NA,NA,110.8,115.4,110.4,113.7,133,176.5,235.1,109.3,NA,1332444,162.2,1324104,2006-03-01
2006,"04",NA,NA,106.9,116.6,110.8,114.2,133.3,173,234.5,110.8,NA,1321296,164.3,1310331,2006-04-01
2006,"05",NA,NA,109.1,119.2,112.1,115.3,134.9,174.8,235.9,110.8,NA,1325109,165.8,1324108,2006-05-01
2006,"06",NA,NA,110.1,119.2,112.4,116,137.3,176.8,233.7,110.8,NA,1331873,166.1,1339154,2006-06-01
2006,"07",NA,NA,111.3,119.5,112.5,116.5,138.9,186,233.1,113,NA,1333447,166.8,1347284,2006-07-01
2006,"08",NA,NA,107.8,120.3,113.2,117.4,139.1,190.3,233.1,113,NA,1339344,167.9,1357035,2006-08-01
2006,"09",NA,NA,107.9,119.7,113.4,117.4,139.5,193.6,233.1,113,NA,1354706,165.4,1362623,2006-09-01
2006,"10",NA,NA,107.3,117.5,113,116.5,139.4,196.2,233.5,116.2,NA,1388863,162.2,1365943,2006-10-01
2006,"11",NA,NA,106.7,117.6,112.5,116.1,136.8,188.3,232.8,116.3,NA,1400150,164.6,1368239,2006-11-01
2006,"12",NA,NA,106.7,117.9,112.3,116.4,135.5,186.9,231.8,116.2,NA,1349034,165.6,1366352,2006-12-01
2007,"01",NA,NA,106.9,117.1,113,116.3,136.1,178.3,231.8,117.5,NA,1360786,164,1370168,2007-01-01
2007,"02",NA,NA,106,116.5,112.5,116.3,136.8,178.9,227.8,117.5,NA,1367427,166.8,1368476,2007-02-01
2007,"03",NA,NA,106,117.8,112.4,118.1,135.5,177.2,228,117.5,NA,1369574,169.3,1366320,2007-03-01
2007,"04",NA,NA,106.2,121.5,112.9,118.9,136.7,174.1,228,117.6,NA,1406351,171.4,1399387,2007-04-01
2007,"05",NA,NA,109.4,122.4,113.1,119.8,138.1,173.9,227.5,117.6,NA,1404482,173.3,1406181,2007-05-01
2007,"06",NA,NA,109.4,122.7,112.8,120.3,141,177.4,226.6,117.5,NA,1403390,173.8,1412362,2007-06-01
2007,"07",NA,NA,109.4,121.7,113,120.4,140.9,186.2,231.4,119.4,NA,1404838,175.1,1419028,2007-07-01
2007,"08",NA,NA,109.4,121.2,113.3,120.4,142.6,193,231.4,119.4,NA,1404722,172.4,1420808,2007-08-01
2007,"09",NA,NA,109.6,120.9,113.8,119.3,144.1,198.8,231.4,119.4,NA,1423032,173.5,1429479,2007-09-01
2007,"10",NA,NA,111.2,122,114,120.1,144.7,203.9,233.2,121.4,NA,1457814,174.7,1431019,2007-10-01
2007,"11",NA,NA,109.5,123.7,115.1,121,146.5,197,231.3,121.5,NA,1472259,179,1436703,2007-11-01
2007,"12",NA,NA,115.4,124,115.8,123.6,148,194.7,231.3,121.4,NA,1428479,178.6,1444886,2007-12-01
2008,"01",NA,NA,116.3,123.5,116,124.5,152.1,199.5,234,121.6,NA,1451937,181,1457941,2008-01-01
2008,"02",NA,NA,116.4,124.9,115.9,124.4,151.6,201.2,234.1,121.6,NA,1471663,182.7,1468430,2008-02-01
2008,"03",NA,NA,119.3,127.8,116.5,127.4,152,201.7,237.7,121.6,NA,1468995,187.9,1465083,2008-03-01
2008,"04",NA,NA,126.8,130.1,117.8,128.8,152.9,206.2,241.2,122.4,NA,1481290,190.9,1474824,2008-04-01
2008,"05",NA,NA,129.1,131,120.5,132.6,156.4,208,256.5,122.4,NA,1476511,196.6,1479332,2008-05-01
2008,"06",NA,100,132.6,133.3,123,134.2,159.6,213.5,262.2,122.4,NA,1478304,200.5,1489543,2008-06-01
2008,"07",NA,103.9,132.7,132.2,124,135.6,162.5,227.8,267,124.5,NA,1493726,205.5,1507148,2008-07-01
2008,"08",NA,102.5,136.2,130.7,124,134,164.3,228,281.1,124.5,NA,1494897,199,1511781,2008-08-01
2008,"09",NA,102.4,133.6,129.4,121.8,133.1,163.7,234.4,284.4,124.5,NA,1501460,196.9,1507113,2008-09-01
2008,"10",NA,102.7,131.3,126.8,121.3,131.4,160.9,241.5,279.6,129.1,NA,1522305,186.4,1496951,2008-10-01
2008,"11",NA,97.8,129.5,123.5,117.8,129.5,157.8,231.9,263.8,129.1,NA,1515208,176.8,1485054,2008-11-01
2008,"12",NA,98.8,129.6,121.2,115.1,127.2,153.5,225.6,258.2,129,100,1438418,170.9,1460523,2008-12-01
2009,"01",NA,92.3,127.6,126.3,113.2,124.7,149.5,224,234.5,131,99.8,1427260,171.2,1440075,2009-01-01
2009,"02",NA,89.8,123.6,126.6,112.1,124.5,147.6,231.5,225.2,130.7,99.8,1416016,169.3,1421255,2009-02-01
2009,"03",NA,90.7,119,125.4,110.4,123.7,146.2,223.4,225.7,130.6,99.7,1397214,168.1,1404091,2009-03-01
2009,"04",NA,85.9,117.7,125.7,109.7,123.8,146,204,226.8,129.2,99.7,1380810,169.1,1384702,2009-04-01
2009,"05",NA,85,118.6,126,109.8,125.5,146,203,208.8,129.3,99.7,1355248,170.8,1368127,2009-05-01
2009,"06",100,86.4,116,125.3,110.1,127,147,206.7,209,128.8,99.9,1332729,174.1,1349984,2009-06-01
2009,"07",100.8,87.2,116.4,125.9,111.4,126.5,147.6,197.3,210.2,124.3,100,1318371,172.5,1332543,2009-07-01
2009,"08",101.6,86.7,116.5,126.1,111,126.7,149.9,197.7,212.2,124.3,100.1,1299440,175,1311437,2009-08-01
2009,"09",101.2,88,116.7,125.4,111.7,126.7,150,205.9,215.6,123.9,100,1303413,174.1,1303341,2009-09-01
2009,"10",101.7,93.2,116.7,125,110.8,127.5,150.3,213,217.9,123.8,100,1335017,175.2,1305437,2009-10-01
2009,"11",102.3,96.9,120.2,125.4,111.5,128,150.8,217.8,219,123.8,100.3,1348036,177.4,1313168,2009-11-01
2009,"12",102.5,99.3,120.3,123.4,110.9,127.7,150.9,213.2,221.2,123.7,100.2,1297625,178.1,1310736,2009-12-01
2010,"01",104.3,98.5,125.7,122.2,110.8,127.3,152.7,215.3,227.2,123.5,101.2,1305438,181.9,1310171,2010-01-01
2010,"02",104.5,97.2,129.5,123.5,111,127.6,153.5,212.8,229.5,123.3,101.3,1326610,181,1326350,2010-02-01
2010,"03",105.3,97.8,129.4,125.9,111.9,127.3,154.6,208.2,229.5,123.2,100.8,1328942,183.3,1327479,2010-03-01
