"series","n_obs","start","end","interior_gaps"
"TC_Aggregate_WPU30",187,"2009-06","2024-12",0
"Airfreight_NonScheduled",199,"2008-06","2024-12",0
"Airfreight_Scheduled",253,"2003-12","2024-12",0
"Trucking_LD_LTL",253,"2003-12","2024-12",0
"Trucking_LD_Truckload",253,"2003-12","2024-12",0
"Trucking_Local",253,"2003-12","2024-12",0
"Rail_Transportation",253,"2003-12","2024-12",0
"Inland_Water_Freight",253,"2003-12","2024-12",0
"Deep_Sea_Freight",253,"2003-12","2024-12",0
"Warehouse_Construction",241,"2004-12","2024-12",0
"Warehousing_Storage",193,"2008-12","2024-12",0
"Total_Inventories",253,"2003-12","2024-12",0
"PPI_All_Commodities",253,"2003-12","2024-12",0
