"run","Model","ic_series","dummies","ecdet","lag_rule","K","cv_valid","test","hypothesis","statistic","cv_10pct","cv_5pct","cv_1pct","reject_5pct"
"A_common_censusIC","LTL","Total_Inventories","none","none","AIC",6,TRUE,"trace","r = 0",13.7331405308042,15.66,17.95,23.52,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","none","AIC",6,TRUE,"trace","r <= 1",0.617986245501576,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","none","AIC",6,TRUE,"eigen","r = 0",13.1151542853027,12.91,14.9,19.19,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","none","AIC",6,TRUE,"eigen","r <= 1",0.617986245501576,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","none","SBC",2,TRUE,"trace","r = 0",12.6635420791415,15.66,17.95,23.52,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","none","SBC",2,TRUE,"trace","r <= 1",0.0998480351111901,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","none","SBC",2,TRUE,"eigen","r = 0",12.5636940440303,12.91,14.9,19.19,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","none","SBC",2,TRUE,"eigen","r <= 1",0.0998480351111901,6.5,8.18,11.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","const","AIC",6,TRUE,"trace","r = 0",21.2310812485739,17.85,19.96,24.6,TRUE
"A_common_censusIC","LTL","Total_Inventories","none","const","AIC",6,TRUE,"trace","r <= 1",6.70247543430402,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","const","AIC",6,TRUE,"eigen","r = 0",14.5286058142699,13.75,15.67,20.2,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","const","AIC",6,TRUE,"eigen","r <= 1",6.70247543430399,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","const","SBC",2,TRUE,"trace","r = 0",31.1594842830389,17.85,19.96,24.6,TRUE
"A_common_censusIC","LTL","Total_Inventories","none","const","SBC",2,TRUE,"trace","r <= 1",7.31525950884865,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","const","SBC",2,TRUE,"eigen","r = 0",23.8442247741902,13.75,15.67,20.2,TRUE
"A_common_censusIC","LTL","Total_Inventories","none","const","SBC",2,TRUE,"eigen","r <= 1",7.31525950884865,7.52,9.24,12.97,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","trend","AIC",6,TRUE,"trace","r = 0",26.8670356262976,22.76,25.32,30.45,TRUE
"A_common_censusIC","LTL","Total_Inventories","none","trend","AIC",6,TRUE,"trace","r <= 1",11.2731713207838,10.49,12.25,16.26,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","trend","AIC",6,TRUE,"eigen","r = 0",15.5938643055138,16.85,18.96,23.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","trend","AIC",6,TRUE,"eigen","r <= 1",11.2731713207838,10.49,12.25,16.26,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","trend","SBC",2,TRUE,"trace","r = 0",21.3505409592076,22.76,25.32,30.45,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","trend","SBC",2,TRUE,"trace","r <= 1",4.92863551981633,10.49,12.25,16.26,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","trend","SBC",2,TRUE,"eigen","r = 0",16.4219054393912,16.85,18.96,23.65,FALSE
"A_common_censusIC","LTL","Total_Inventories","none","trend","SBC",2,TRUE,"eigen","r <= 1",4.92863551981633,10.49,12.25,16.26,FALSE
