"run","Model","dummies","AIC_K","SBC_K","HQ_K","FPE_K","HQ_matches_AIC","HQ_matches_SBC","FPE_matches_AIC","FPE_matches_SBC"
"A_common_censusIC","LTL","none",4,2,3,4,FALSE,FALSE,TRUE,FALSE
"A_common_censusIC","LTL","orig",4,2,3,4,FALSE,FALSE,TRUE,FALSE
"A_common_censusIC","LTL","za_step",4,2,3,4,FALSE,FALSE,TRUE,FALSE
"A_common_censusIC","LTL","za_window",4,2,2,4,FALSE,TRUE,TRUE,FALSE
"A_common_censusIC","LTL","za_series",6,2,3,6,FALSE,FALSE,TRUE,FALSE
"A_common_censusIC","Truckload","none",6,2,4,6,FALSE,FALSE,TRUE,FALSE
"A_common_censusIC","Truckload","orig",5,2,2,5,FALSE,TRUE,TRUE,FALSE
"A_common_censusIC","Truckload","za_step",6,2,2,4,FALSE,TRUE,FALSE,FALSE
"A_common_censusIC","Truckload","za_window",5,2,2,5,FALSE,TRUE,TRUE,FALSE
"A_common_censusIC","Truckload","za_series",6,2,2,6,FALSE,TRUE,TRUE,FALSE
"A_common_censusIC","Local","none",4,4,4,4,TRUE,TRUE,TRUE,TRUE
"A_common_censusIC","Local","orig",4,3,4,4,TRUE,FALSE,TRUE,FALSE
"A_common_censusIC","Local","za_step",4,4,4,4,TRUE,TRUE,TRUE,TRUE
"A_common_censusIC","Local","za_window",4,2,4,4,TRUE,FALSE,TRUE,FALSE
"A_common_censusIC","Local","za_series",4,4,4,4,TRUE,TRUE,TRUE,TRUE
"A_common_censusIC","Airfreight","none",5,3,4,4,FALSE,FALSE,FALSE,FALSE
"A_common_censusIC","Airfreight","orig",5,3,3,5,FALSE,TRUE,TRUE,FALSE
"A_common_censusIC","Airfreight","za_step",5,3,3,5,FALSE,TRUE,TRUE,FALSE
"A_common_censusIC","Airfreight","za_window",5,3,3,5,FALSE,TRUE,TRUE,FALSE
"A_common_censusIC","Airfreight","za_series",5,3,3,5,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","LTL","none",6,4,4,6,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","LTL","orig",6,4,4,6,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","LTL","za_step",7,4,4,7,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","LTL","za_window",11,4,6,11,FALSE,FALSE,TRUE,FALSE
"B_common_whseconstr","LTL","za_series",6,4,4,6,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","Truckload","none",10,4,4,10,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","Truckload","orig",10,4,4,10,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","Truckload","za_step",9,4,5,9,FALSE,FALSE,TRUE,FALSE
"B_common_whseconstr","Truckload","za_window",10,4,4,10,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","Truckload","za_series",9,4,5,9,FALSE,FALSE,TRUE,FALSE
"B_common_whseconstr","Local","none",11,4,4,11,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","Local","orig",11,4,4,11,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","Local","za_step",12,4,4,12,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","Local","za_window",11,4,4,11,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","Local","za_series",12,4,6,12,FALSE,FALSE,TRUE,FALSE
"B_common_whseconstr","Airfreight","none",7,5,5,7,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","Airfreight","orig",7,5,5,7,FALSE,TRUE,TRUE,FALSE
"B_common_whseconstr","Airfreight","za_step",7,5,7,7,TRUE,FALSE,TRUE,FALSE
