"run","primary","Model","identified","sig_negative","share","alpha_min","alpha_max","hl_min","hl_max"
"A_common_censusIC",TRUE,"Local",12,9,0.75,-0.0603,-0.0331,11.1,20.6
"A_common_censusIC",TRUE,"Truckload",17,11,0.647,-0.0794,-0.0252,8.4,27.2
"A_common_censusIC",TRUE,"Airfreight",5,2,0.4,-0.0621,-0.0181,10.8,37.9
"A_common_censusIC",TRUE,"LTL",17,6,0.353,-0.1309,-0.052,4.9,13
"B_common_whseconstr",FALSE,"Airfreight",22,22,1,-0.1523,-0.1069,4.2,6.1
"B_common_whseconstr",FALSE,"Truckload",15,12,0.8,-0.1488,-0.0851,4.3,7.8
"B_common_whseconstr",FALSE,"Local",5,1,0.2,-0.0445,-0.0445,15.2,15.2
"B_common_whseconstr",FALSE,"LTL",11,0,0,NA,NA,NA,NA
"C_full_whseconstr",FALSE,"Airfreight",6,6,1,-0.091,-0.0021,7.3,333.9
"C_full_whseconstr",FALSE,"Truckload",14,12,0.857,-0.1271,-0.0798,5.1,8.3
"C_full_whseconstr",FALSE,"Local",15,10,0.667,-0.0903,-0.0436,7.3,15.6
"C_full_whseconstr",FALSE,"LTL",17,6,0.353,-0.1723,-0.1203,3.7,5.4
"D_deflated_censusIC",FALSE,"LTL",14,14,1,-0.2263,-0.0568,2.7,11.9
"D_deflated_censusIC",FALSE,"Truckload",8,8,1,-0.1281,-0.0899,5.1,7.4
"D_deflated_censusIC",FALSE,"Local",17,17,1,-0.1754,-0.0732,3.6,9.1
"D_deflated_censusIC",FALSE,"Airfreight",0,0,NA,NA,NA,NA,NA
"E_prepandemic_censusIC",FALSE,"LTL",2,1,0.5,-0.015,-0.015,46,46
"E_prepandemic_censusIC",FALSE,"Truckload",3,0,0,NA,NA,NA,NA
"E_prepandemic_censusIC",FALSE,"Local",1,0,0,NA,NA,NA,NA
"E_prepandemic_censusIC",FALSE,"Airfreight",2,0,0,NA,NA,NA,NA
