"system","dummies","ecdet","lag_rule","K","cv_valid","ect_term","row","coefficient"
"TL_Air_IC","orig","none","SBC",2,FALSE,"ect1","Truckload.l2",1
"TL_Air_IC","orig","none","SBC",2,FALSE,"ect1","Airfreight.l2",0.1295173201449
"TL_Air_IC","orig","none","SBC",2,FALSE,"ect1","IC.l2",-0.788932271424459
"TL_Air_IC","orig","const","AIC",5,FALSE,"ect1","Truckload.l5",1
"TL_Air_IC","orig","const","AIC",5,FALSE,"ect1","Airfreight.l5",0.157146885939063
"TL_Air_IC","orig","const","AIC",5,FALSE,"ect1","IC.l5",-0.742711621299575
"TL_Air_IC","orig","const","AIC",5,FALSE,"ect1","constant",5.11611068544063
"TL_Air_IC","orig","const","SBC",2,FALSE,"ect1","Truckload.l2",1
"TL_Air_IC","orig","const","SBC",2,FALSE,"ect1","Airfreight.l2",0.135795638334742
"TL_Air_IC","orig","const","SBC",2,FALSE,"ect1","IC.l2",-0.835392464413318
"TL_Air_IC","orig","const","SBC",2,FALSE,"ect1","constant",6.54423331629808
"TL_Air_IC","orig","trend","SBC",2,FALSE,"ect1","Truckload.l2",1
"TL_Air_IC","orig","trend","SBC",2,FALSE,"ect1","Airfreight.l2",0.0545129830226612
"TL_Air_IC","orig","trend","SBC",2,FALSE,"ect1","IC.l2",-1.01184357514043
"TL_Air_IC","orig","trend","SBC",2,FALSE,"ect1","trend.l2",0.000815285204195391
"TL_Air_IC","za_step","const","SBC",2,FALSE,"ect1","Truckload.l2",1
"TL_Air_IC","za_step","const","SBC",2,FALSE,"ect1","Airfreight.l2",0.261493284750308
"TL_Air_IC","za_step","const","SBC",2,FALSE,"ect1","IC.l2",-1.11956823610002
"TL_Air_IC","za_step","const","SBC",2,FALSE,"ect1","constant",10.0301411736208
"TL_Air_IC","za_window","none","SBC",2,FALSE,"ect1","Truckload.l2",1
"TL_Air_IC","za_window","none","SBC",2,FALSE,"ect1","Airfreight.l2",0.0889672874904606
"TL_Air_IC","za_window","none","SBC",2,FALSE,"ect1","IC.l2",-0.750757228751329
"TL_Air_IC","za_window","const","AIC",5,FALSE,"ect1","Truckload.l5",1
"TL_Air_IC","za_window","const","AIC",5,FALSE,"ect1","Airfreight.l5",0.161765085135009
"TL_Air_IC","za_window","const","AIC",5,FALSE,"ect1","IC.l5",-0.817196828914344
"TL_Air_IC","za_window","const","AIC",5,FALSE,"ect1","constant",6.14457623794055
"TL_Air_IC","za_window","const","SBC",2,FALSE,"ect1","Truckload.l2",1
"TL_Air_IC","za_window","const","SBC",2,FALSE,"ect1","Airfreight.l2",0.133569049414219
"TL_Air_IC","za_window","const","SBC",2,FALSE,"ect1","IC.l2",-0.89063299688184
"TL_Air_IC","za_window","const","SBC",2,FALSE,"ect1","constant",7.34671448294411
"TL_Air_IC","za_window","trend","SBC",2,FALSE,"ect1","Truckload.l2",1
"TL_Air_IC","za_window","trend","SBC",2,FALSE,"ect1","Airfreight.l2",0.319097654488086
"TL_Air_IC","za_window","trend","SBC",2,FALSE,"ect1","IC.l2",0.0445429268686881
"TL_Air_IC","za_window","trend","SBC",2,FALSE,"ect1","trend.l2",-0.00269302219748203
"LTL_Air_IC","none","const","SBC",2,TRUE,"ect1","LTL.l2",1
"LTL_Air_IC","none","const","SBC",2,TRUE,"ect1","Airfreight.l2",-0.0217253654972806
"LTL_Air_IC","none","const","SBC",2,TRUE,"ect1","IC.l2",-1.14525531250075
"LTL_Air_IC","none","const","SBC",2,TRUE,"ect1","constant",11.5493160919471
"LTL_Air_IC","orig","const","AIC",6,FALSE,"ect1","LTL.l6",1
"LTL_Air_IC","orig","const","AIC",6,FALSE,"ect1","Airfreight.l6",-0.0924916215061854
"LTL_Air_IC","orig","const","AIC",6,FALSE,"ect1","IC.l6",-1.06688965306217
"LTL_Air_IC","orig","const","AIC",6,FALSE,"ect1","constant",10.7479397235098
"LTL_Air_IC","orig","const","SBC",2,FALSE,"ect1","LTL.l2",1
"LTL_Air_IC","orig","const","SBC",2,FALSE,"ect1","Airfreight.l2",-0.044823389759568
"LTL_Air_IC","orig","const","SBC",2,FALSE,"ect1","IC.l2",-1.14848479601743
"LTL_Air_IC","orig","const","SBC",2,FALSE,"ect1","constant",11.7082196369138
"LTL_Air_IC","orig","trend","AIC",6,FALSE,"ect1","LTL.l6",1
"LTL_Air_IC","orig","trend","AIC",6,FALSE,"ect1","Airfreight.l6",0.275357139042271
"LTL_Air_IC","orig","trend","AIC",6,FALSE,"ect1","IC.l6",-0.156768843890925
"LTL_Air_IC","orig","trend","AIC",6,FALSE,"ect1","trend.l6",-0.00334509323460613
"LTL_Air_IC","za_step","const","SBC",2,FALSE,"ect1","LTL.l2",1
"LTL_Air_IC","za_step","const","SBC",2,FALSE,"ect1","Airfreight.l2",0.162300770563365
"LTL_Air_IC","za_step","const","SBC",2,FALSE,"ect1","IC.l2",-1.51891620249707
"LTL_Air_IC","za_step","const","SBC",2,FALSE,"ect1","constant",16.0181132301545
"LTL_Air_IC","za_step","trend","AIC",6,FALSE,"ect1","LTL.l6",1
"LTL_Air_IC","za_step","trend","AIC",6,FALSE,"ect1","Airfreight.l6",0.21283117812403
"LTL_Air_IC","za_step","trend","AIC",6,FALSE,"ect1","IC.l6",0.451144090889226
"LTL_Air_IC","za_step","trend","AIC",6,FALSE,"ect1","trend.l6",-0.0046663896513619
"LTL_Air_IC","za_window","const","AIC",3,FALSE,"ect1","LTL.l3",1
"LTL_Air_IC","za_window","const","AIC",3,FALSE,"ect1","Airfreight.l3",-0.119063478700074
"LTL_Air_IC","za_window","const","AIC",3,FALSE,"ect1","IC.l3",-1.30415325167929
"LTL_Air_IC","za_window","const","AIC",3,FALSE,"ect1","constant",14.4156468202869
"LTL_Air_IC","za_window","const","SBC",2,FALSE,"ect1","LTL.l2",1
"LTL_Air_IC","za_window","const","SBC",2,FALSE,"ect1","Airfreight.l2",0.00562274884894355
"LTL_Air_IC","za_window","const","SBC",2,FALSE,"ect1","IC.l2",-1.35488489903694
"LTL_Air_IC","za_window","const","SBC",2,FALSE,"ect1","constant",14.4853306173081
