"pair","K_aic","trace_r0","trace_r1","trace_cv5_r0","trace_cv5_r1","trace_cv1_r0","trace_cv10_r0","eigen_r0","eigen_r1","eigen_cv5_r0","eigen_cv5_r1","eigen_cv1_r0","eigen_cv10_r0","rank_trace","rank_maxeigen","coint_at_5pct","beta_log_IC","beta_other","beta_trend"
"IC vs TC (WPU30 aggregate)",4,20.9639940930487,7.92393916739215,25.32,12.25,30.45,22.76,13.0400549256565,7.92393916739215,18.96,12.25,23.65,16.85,"r = 0 (not cointegrated)","r = 0 (not cointegrated)",FALSE,1,-0.300464558411945,-0.00261152869598814
"IC vs Airfreight_NonScheduled",4,22.1543860113756,10.0404641713751,25.32,12.25,30.45,22.76,12.1139218400005,10.0404641713751,18.96,12.25,23.65,16.85,"r = 0 (not cointegrated)","r = 0 (not cointegrated)",FALSE,1,0.21415213574675,-0.00362959359586912
"IC vs Airfreight_Scheduled",5,32.5817076260059,8.18503135946056,25.32,12.25,30.45,22.76,24.3966762665453,8.18503135946056,18.96,12.25,23.65,16.85,"r = 1 (cointegrated)","r = 1 (cointegrated)",TRUE,1,0.654174002692563,-0.00347740506437619
"IC vs Trucking_LD_LTL",6,37.4761573019993,14.2383504833807,25.32,12.25,30.45,22.76,23.2378068186186,14.2383504833807,18.96,12.25,23.65,16.85,"r = 2 (full rank)","r = 2 (full rank)",TRUE,1,7.78930802774199,-0.0329132537776114
"IC vs Trucking_LD_Truckload",5,33.4084534806494,14.8784440456786,25.32,12.25,30.45,22.76,18.5300094349708,14.8784440456786,18.96,12.25,23.65,16.85,"r = 2 (full rank)","r = 0 (not cointegrated)",TRUE,1,0.580609675441199,-0.00516238092714068
"IC vs Trucking_Local",4,26.7337079534294,12.0529146423361,25.32,12.25,30.45,22.76,14.6807933110932,12.0529146423361,18.96,12.25,23.65,16.85,"r = 1 (cointegrated)","r = 0 (not cointegrated)",TRUE,1,-0.838347123432478,-0.00117985691864263
"IC vs Rail_Transportation",4,17.4876516641473,4.65893609862426,25.32,12.25,30.45,22.76,12.828715565523,4.65893609862426,18.96,12.25,23.65,16.85,"r = 0 (not cointegrated)","r = 0 (not cointegrated)",FALSE,1,-0.214941275290654,-0.0027127573545122
"IC vs Inland_Water_Freight",4,15.1922815072422,2.04812947214663,25.32,12.25,30.45,22.76,13.1441520350956,2.04812947214663,18.96,12.25,23.65,16.85,"r = 0 (not cointegrated)","r = 0 (not cointegrated)",FALSE,1,-0.0528294941862982,-0.0029916011975036
"IC vs Deep_Sea_Freight",6,27.2509347051192,9.21640007655453,25.32,12.25,30.45,22.76,18.0345346285647,9.21640007655453,18.96,12.25,23.65,16.85,"r = 1 (cointegrated)","r = 0 (not cointegrated)",TRUE,1,0.198681719870885,-0.00397888635330624
"IC vs Warehouse_Construction",4,25.8799917107517,8.41370593910586,25.32,12.25,30.45,22.76,17.4662857716459,8.41370593910586,18.96,12.25,23.65,16.85,"r = 1 (cointegrated)","r = 0 (not cointegrated)",TRUE,1,-0.404947135070536,-0.0014794487365364
"IC vs Warehousing_Storage",5,29.2525944751688,7.8423982268053,25.32,12.25,30.45,22.76,21.4101962483635,7.8423982268053,18.96,12.25,23.65,16.85,"r = 1 (cointegrated)","r = 1 (cointegrated)",TRUE,1,-0.567897630506367,-0.00104794368743271
