"Model","Equation","Term","Estimate","t-stat","p-value"
"Model 1","log_Trucking_LD_LTL","ect1","-0.1233***","-4.626","0.0000"
"Model 1","log_Trucking_LD_LTL","log_Trucking_LD_LTL.dl1","-0.2501***","-3.233","0.0015"
"Model 1","log_Trucking_LD_LTL","log_IC.dl1","0.6233***","3.130","0.0021"
"Model 1","log_Trucking_LD_LTL","log_Trucking_LD_LTL.dl2","-0.1187","-1.529","0.1282"
"Model 1","log_Trucking_LD_LTL","log_IC.dl2","-0.1246","-0.592","0.5549"
"Model 1","log_Trucking_LD_LTL","log_Trucking_LD_LTL.dl3","-0.1098","-1.418","0.1580"
"Model 1","log_Trucking_LD_LTL","log_IC.dl3","0.2007","0.962","0.3373"
"Model 1","log_IC","ect1","-0.0089","-0.845","0.3995"
"Model 1","log_IC","log_Trucking_LD_LTL.dl1","0.0169","0.552","0.5815"
"Model 1","log_IC","log_IC.dl1","0.2797***","3.541","0.0005"
"Model 1","log_IC","log_Trucking_LD_LTL.dl2","0.0272","0.882","0.3792"
"Model 1","log_IC","log_IC.dl2","0.0953","1.141","0.2555"
"Model 1","log_IC","log_Trucking_LD_LTL.dl3","-0.0009","-0.030","0.9758"
"Model 1","log_IC","log_IC.dl3","0.2395***","2.895","0.0043"
"Model 2","log_Trucking_LD_Truckload","ect1","-0.0461***","-3.679","0.0003"
"Model 2","log_Trucking_LD_Truckload","log_Trucking_LD_Truckload.dl1","-0.0577","-0.711","0.4780"
"Model 2","log_Trucking_LD_Truckload","log_IC.dl1","0.8218***","2.757","0.0065"
"Model 2","log_Trucking_LD_Truckload","log_Trucking_LD_Truckload.dl2","-0.1201","-1.400","0.1635"
"Model 2","log_Trucking_LD_Truckload","log_IC.dl2","0.4249","1.434","0.1535"
"Model 2","log_Trucking_LD_Truckload","log_Trucking_LD_Truckload.dl3","0.0565","0.645","0.5195"
"Model 2","log_Trucking_LD_Truckload","log_IC.dl3","0.0269","0.093","0.9258"
"Model 2","log_IC","ect1","0.0040","1.192","0.2351"
"Model 2","log_IC","log_Trucking_LD_Truckload.dl1","0.0828***","3.839","0.0002"
"Model 2","log_IC","log_IC.dl1","0.1779**","2.246","0.0261"
"Model 2","log_IC","log_Trucking_LD_Truckload.dl2","0.0446*","1.958","0.0520"
"Model 2","log_IC","log_IC.dl2","0.0289","0.367","0.7138"
"Model 2","log_IC","log_Trucking_LD_Truckload.dl3","0.0536**","2.306","0.0224"
"Model 2","log_IC","log_IC.dl3","0.1609**","2.102","0.0371"
"Model 3","log_Trucking_Local","ect1","-0.0089","-0.574","0.5668"
"Model 3","log_Trucking_Local","log_Trucking_Local.dl1","0.0133","0.166","0.8686"
"Model 3","log_Trucking_Local","log_IC.dl1","0.2845","1.284","0.2009"
"Model 3","log_Trucking_Local","log_Trucking_Local.dl2","-0.0012","-0.015","0.9881"
"Model 3","log_Trucking_Local","log_IC.dl2","-0.2237","-1.035","0.3022"
"Model 3","log_Trucking_Local","log_Trucking_Local.dl3","0.1825**","2.243","0.0263"
"Model 3","log_Trucking_Local","log_IC.dl3","0.2356","1.167","0.2450"
"Model 3","log_IC","ect1","0.0184***","3.265","0.0013"
"Model 3","log_IC","log_Trucking_Local.dl1","0.0126","0.433","0.6659"
"Model 3","log_IC","log_IC.dl1","0.2522***","3.152","0.0019"
"Model 3","log_IC","log_Trucking_Local.dl2","0.0868***","3.038","0.0028"
"Model 3","log_IC","log_IC.dl2","0.0055","0.071","0.9438"
"Model 3","log_IC","log_Trucking_Local.dl3","-0.0148","-0.503","0.6156"
"Model 3","log_IC","log_IC.dl3","0.2066***","2.834","0.0052"
"Model 4","log_Airfreight_Scheduled","ect1","-0.0499***","-4.558","0.0000"
"Model 4","log_Airfreight_Scheduled","log_Airfreight_Scheduled.dl1","-0.1356*","-1.824","0.0701"
"Model 4","log_Airfreight_Scheduled","log_IC.dl1","0.0466","0.184","0.8541"
"Model 4","log_Airfreight_Scheduled","log_Airfreight_Scheduled.dl2","-0.0168","-0.226","0.8216"
"Model 4","log_Airfreight_Scheduled","log_IC.dl2","0.2735","1.076","0.2836"
"Model 4","log_Airfreight_Scheduled","log_Airfreight_Scheduled.dl3","-0.1732**","-2.212","0.0284"
"Model 4","log_Airfreight_Scheduled","log_IC.dl3","-0.1719","-0.718","0.4736"
"Model 4","log_IC","ect1","-0.0046","-1.348","0.1797"
"Model 4","log_IC","log_Airfreight_Scheduled.dl1","0.0104","0.447","0.6554"
"Model 4","log_IC","log_IC.dl1","0.2608***","3.303","0.0012"
"Model 4","log_IC","log_Airfreight_Scheduled.dl2","0.0882***","3.798","0.0002"
"Model 4","log_IC","log_IC.dl2","0.1289","1.625","0.1062"
"Model 4","log_IC","log_Airfreight_Scheduled.dl3","0.0056","0.231","0.8178"
"Model 4","log_IC","log_IC.dl3","0.2196***","2.940","0.0038"
