"term","estimate","std_error","t_stat","p_value","equation","model","pair"
"ect1",-0.123337682231758,0.0266608594165201,-4.62617053354753,7.71124454059429e-06,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"constant",0.817174259043145,0.176355266650259,4.63368219483762,7.46892397969023e-06,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd1",-0.00221243806762123,0.00527419733910039,-0.419483368818846,0.675432706342891,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd2",-0.00343592909516671,0.00499928646124773,-0.687283899772601,0.49291143621508,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd3",-0.00387642782103713,0.00513272055650118,-0.755238431230624,0.451230283245378,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd4",-0.00570242967933709,0.00505303519389269,-1.12851572580165,0.2608128032924,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd5",-0.00193754971431789,0.00510167893929959,-0.379786681477039,0.704613768721532,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd6",-0.000303738398280011,0.00509121196841026,-0.059659350300996,0.952502339643202,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd7",-0.00897152771393869,0.00497127937467589,-1.804671803327,0.0730304264903492,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd8",0.00358529350583983,0.00505284739975044,0.709559031214145,0.479023438881622,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd9",-0.00411828942318225,0.00514809885904196,-0.799963158428672,0.424933244450594,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd10",0.00383246348517814,0.00502594011420547,0.762536639532562,0.446876681330657,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"sd11",-0.00308314293718969,0.0052659358737647,-0.58548812805529,0.559054861012378,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"log_Trucking_LD_LTL.dl1",-0.250055618120973,0.0773408335472811,-3.23316425039698,0.00149053852793718,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"log_IC.dl1",0.623300182681804,0.19912632941899,3.13017462080713,0.00208141945469754,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"log_Trucking_LD_LTL.dl2",-0.118706060281538,0.0776203373016395,-1.52931647050483,0.128185598840847,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"log_IC.dl2",-0.124572226043767,0.21054066485379,-0.591677746103233,0.554912034425682,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"log_Trucking_LD_LTL.dl3",-0.109834415811813,0.0774327862109541,-1.41844845299232,0.158029324989392,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"log_IC.dl3",0.200691170741804,0.208516877158653,0.962469673805373,0.33728441721232,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"log_Trucking_LD_LTL.dl4",-0.311208950450218,0.0774346763850676,-4.0189869058487,9.02370526155545e-05,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
"log_IC.dl4",0.218918458334807,0.20795368271641,1.05272700860677,0.294073427482573,"log_Trucking_LD_LTL","Model 1","log LTL trucking + log IC"
